entity,code,year,crop,yield
Bangladesh,BGD,2015,wheat,3.0860000000000003
Bangladesh,BGD,2015,rice,4.5518
Bangladesh,BGD,2015,maize,6.984100000000001
Bangladesh,BGD,2015,barley,0.8822000000000001
Bangladesh,BGD,2016,wheat,3.031
Bangladesh,BGD,2016,rice,4.5863000000000005
Bangladesh,BGD,2016,maize,7.300800000000001
Bangladesh,BGD,2016,barley,0.8904000000000001
Bangladesh,BGD,2017,wheat,3.1576
Bangladesh,BGD,2017,rice,4.6619
Bangladesh,BGD,2017,maize,7.7598
Bangladesh,BGD,2017,barley,0.8723000000000001
Bangladesh,BGD,2018,wheat,3.1301
Bangladesh,BGD,2018,rice,4.736800000000001
Bangladesh,BGD,2018,maize,8.2104
Bangladesh,BGD,2018,barley,0.8215
Brazil,BRA,1961,wheat,0.533
Brazil,BRA,1961,rice,1.6989
Brazil,BRA,1961,maize,1.3123
Brazil,BRA,1961,barley,0.7715000000000001
Brazil,BRA,1962,wheat,0.9491
Brazil,BRA,1962,rice,1.6589
Brazil,BRA,1962,maize,1.3048
Brazil,BRA,1962,barley,0.9713
Brazil,BRA,1963,wheat,0.4945000000000001
Brazil,BRA,1963,rice,1.5423
Brazil,BRA,1963,maize,1.3092
Brazil,BRA,1963,barley,0.6729
Brazil,BRA,1964,wheat,0.8765000000000001
Brazil,BRA,1964,rice,1.5171
Brazil,BRA,1964,maize,1.1606
Brazil,BRA,1964,barley,0.9199
Brazil,BRA,1965,wheat,0.7636000000000001
Brazil,BRA,1965,rice,1.641
Brazil,BRA,1965,maize,1.3809
Brazil,BRA,1965,barley,0.8182
Brazil,BRA,1966,wheat,0.8573000000000001
Brazil,BRA,1966,rice,1.4487
Brazil,BRA,1966,maize,1.3066
Brazil,BRA,1966,barley,0.8429000000000001
Brazil,BRA,1967,wheat,0.7574000000000001
Brazil,BRA,1967,rice,1.5828
Brazil,BRA,1967,maize,1.3828
Brazil,BRA,1967,barley,0.7347
Brazil,BRA,1968,wheat,0.8825000000000001
Brazil,BRA,1968,rice,1.4919
Brazil,BRA,1968,maize,1.3369
Brazil,BRA,1968,barley,0.8344
Brazil,BRA,1969,wheat,0.9762
Brazil,BRA,1969,rice,1.3838
Brazil,BRA,1969,maize,1.3149
Brazil,BRA,1969,barley,1.0349000000000002
Brazil,BRA,1970,wheat,0.9731
Brazil,BRA,1970,rice,1.5169
Brazil,BRA,1970,maize,1.4421000000000002
Brazil,BRA,1970,barley,1.0675
Brazil,BRA,1971,wheat,0.8865000000000001
Brazil,BRA,1971,rice,1.384
Brazil,BRA,1971,maize,1.3393000000000002
Brazil,BRA,1971,barley,0.8292
Brazil,BRA,1972,wheat,0.4237
Brazil,BRA,1972,rice,1.4914
Brazil,BRA,1972,maize,1.413
Brazil,BRA,1972,barley,0.7788
Brazil,BRA,1973,wheat,1.1044
Brazil,BRA,1973,rice,1.4933
Brazil,BRA,1973,maize,1.4295
Brazil,BRA,1973,barley,0.7186
Brazil,BRA,1974,wheat,1.1568
Brazil,BRA,1974,rice,1.4500000000000002
Brazil,BRA,1974,maize,1.5248000000000002
Brazil,BRA,1974,barley,0.7398
Brazil,BRA,1975,wheat,0.61
Brazil,BRA,1975,rice,1.4665
Brazil,BRA,1975,maize,1.5048
Brazil,BRA,1975,barley,1.0729
Brazil,BRA,1976,wheat,0.9084
Brazil,BRA,1976,rice,1.4658
Brazil,BRA,1976,maize,1.5967
Brazil,BRA,1976,barley,1.2691
Brazil,BRA,1977,wheat,0.6552
Brazil,BRA,1977,rice,1.5009
Brazil,BRA,1977,maize,1.6322
Brazil,BRA,1977,barley,1.0178
Brazil,BRA,1978,wheat,0.9572
Brazil,BRA,1978,rice,1.2974
Brazil,BRA,1978,maize,1.2197
Brazil,BRA,1978,barley,1.6094000000000002
Brazil,BRA,1979,wheat,0.7641
Brazil,BRA,1979,rice,1.3931
Brazil,BRA,1979,maize,1.4406
Brazil,BRA,1979,barley,1.1586
Brazil,BRA,1980,wheat,0.8653000000000001
Brazil,BRA,1980,rice,1.5658
Brazil,BRA,1980,maize,1.779
Brazil,BRA,1980,barley,1.0365
Brazil,BRA,1981,wheat,1.1508
Brazil,BRA,1981,rice,1.3485
Brazil,BRA,1981,maize,1.833
Brazil,BRA,1981,barley,1.1491
Brazil,BRA,1982,wheat,0.646
Brazil,BRA,1982,rice,1.6158
Brazil,BRA,1982,maize,1.7308
Brazil,BRA,1982,barley,0.5904
Brazil,BRA,1983,wheat,1.1903
Brazil,BRA,1983,rice,1.5155
Brazil,BRA,1983,maize,1.7496
Brazil,BRA,1983,barley,1.0326
Brazil,BRA,1984,wheat,1.1387
Brazil,BRA,1984,rice,1.6869
Brazil,BRA,1984,maize,1.761
Brazil,BRA,1984,barley,1.0591000000000002
Brazil,BRA,1985,wheat,1.614
Brazil,BRA,1985,rice,1.898
Brazil,BRA,1985,maize,1.8662
Brazil,BRA,1985,barley,1.5467
Brazil,BRA,1986,wheat,1.4466
Brazil,BRA,1986,rice,1.861
Brazil,BRA,1986,maize,1.6486
Brazil,BRA,1986,barley,1.8009000000000002
Brazil,BRA,1987,wheat,1.7654
Brazil,BRA,1987,rice,1.7375
Brazil,BRA,1987,maize,1.9843
Brazil,BRA,1987,barley,1.9135
Brazil,BRA,1988,wheat,1.6528
Brazil,BRA,1988,rice,1.9806
Brazil,BRA,1988,maize,1.8775
Brazil,BRA,1988,barley,1.231
Brazil,BRA,1989,wheat,1.6925
Brazil,BRA,1989,rice,2.0993
Brazil,BRA,1989,maize,2.0582000000000003
Brazil,BRA,1989,barley,2.1903
Brazil,BRA,1990,wheat,1.154
Brazil,BRA,1990,rice,1.8803
Brazil,BRA,1990,maize,1.8735
Brazil,BRA,1990,barley,1.4976
Brazil,BRA,1991,wheat,1.4232
Brazil,BRA,1991,rice,2.302
Brazil,BRA,1991,maize,1.8084
Brazil,BRA,1991,barley,1.1458000000000002
Brazil,BRA,1992,wheat,1.4295
Brazil,BRA,1992,rice,2.1349
Brazil,BRA,1992,maize,2.2828
Brazil,BRA,1992,barley,1.8732
Brazil,BRA,1993,wheat,1.4825000000000002
Brazil,BRA,1993,rice,2.2912
Brazil,BRA,1993,maize,2.5321
Brazil,BRA,1993,barley,1.6395000000000002
Brazil,BRA,1994,wheat,1.5541
Brazil,BRA,1994,rice,2.3876
Brazil,BRA,1994,maize,2.3629
Brazil,BRA,1994,barley,1.6903
Brazil,BRA,1995,wheat,1.542
Brazil,BRA,1995,rice,2.5668
Brazil,BRA,1995,maize,2.6005000000000003
Brazil,BRA,1995,barley,1.5064
Brazil,BRA,1996,wheat,1.8334
Brazil,BRA,1996,rice,2.6578
Brazil,BRA,1996,maize,2.4761
Brazil,BRA,1996,barley,2.4887
Brazil,BRA,1997,wheat,1.6359
Brazil,BRA,1997,rice,2.7310000000000003
Brazil,BRA,1997,maize,2.6228
Brazil,BRA,1997,barley,2.0281
Brazil,BRA,1998,wheat,1.6111
Brazil,BRA,1998,rice,2.5198
Brazil,BRA,1998,maize,2.7964
Brazil,BRA,1998,barley,1.9255
Brazil,BRA,1999,wheat,1.9699
Brazil,BRA,1999,rice,3.0708
Brazil,BRA,1999,maize,2.7765
Brazil,BRA,1999,barley,2.345
Brazil,BRA,2000,wheat,1.5156
Brazil,BRA,2000,rice,3.0382
Brazil,BRA,2000,maize,2.7182
Brazil,BRA,2000,barley,1.9437
Brazil,BRA,2001,wheat,1.9488
Brazil,BRA,2001,rice,3.2405
Brazil,BRA,2001,maize,3.4019000000000004
Brazil,BRA,2001,barley,2.0826
Brazil,BRA,2002,wheat,1.4754
Brazil,BRA,2002,rice,3.3246000000000002
Brazil,BRA,2002,maize,3.0559000000000003
Brazil,BRA,2002,barley,1.6595
Brazil,BRA,2003,wheat,2.4035
Brazil,BRA,2003,rice,3.249
Brazil,BRA,2003,maize,3.7273
Brazil,BRA,2003,barley,2.8964000000000003
Brazil,BRA,2004,wheat,2.0728
Brazil,BRA,2004,rice,3.5565
Brazil,BRA,2004,maize,3.3671
Brazil,BRA,2004,barley,2.7941000000000003
Brazil,BRA,2005,wheat,1.9735
Brazil,BRA,2005,rice,3.3691
Brazil,BRA,2005,maize,3.0403
Brazil,BRA,2005,barley,2.2576
Brazil,BRA,2006,wheat,1.5927
Brazil,BRA,2006,rice,3.8798
Brazil,BRA,2006,maize,3.3823000000000003
Brazil,BRA,2006,barley,2.4695
Brazil,BRA,2007,wheat,2.2199
Brazil,BRA,2007,rice,3.826
Brazil,BRA,2007,maize,3.7852
Brazil,BRA,2007,barley,2.3488
Brazil,BRA,2008,wheat,2.5497
Brazil,BRA,2008,rice,4.2311000000000005
Brazil,BRA,2008,maize,4.08
Brazil,BRA,2008,barley,2.9887
Brazil,BRA,2009,wheat,2.0802
Brazil,BRA,2009,rice,4.4049000000000005
Brazil,BRA,2009,maize,3.7145
Brazil,BRA,2009,barley,2.5984000000000003
Brazil,BRA,2010,wheat,2.8288
Brazil,BRA,2010,rice,4.1271
Brazil,BRA,2010,maize,4.3667
Brazil,BRA,2010,barley,3.3115
Brazil,BRA,2011,wheat,2.6602
Brazil,BRA,2011,rice,4.8956
Brazil,BRA,2011,maize,4.2107
Brazil,BRA,2011,barley,3.4439
Brazil,BRA,2012,wheat,2.31
Brazil,BRA,2012,rice,4.7860000000000005
Brazil,BRA,2012,maize,5.0057
Brazil,BRA,2012,barley,2.5793
Brazil,BRA,2013,wheat,2.7491000000000003
Brazil,BRA,2013,rice,5.0071
Brazil,BRA,2013,maize,5.2536000000000005
Brazil,BRA,2013,barley,3.7441
Brazil,BRA,2014,wheat,2.2088
Brazil,BRA,2014,rice,5.2013
Brazil,BRA,2014,maize,5.1761
Brazil,BRA,2014,barley,2.8120000000000003
Brazil,BRA,2015,wheat,2.2278
Brazil,BRA,2015,rice,5.7525
Brazil,BRA,2015,maize,5.5353
Brazil,BRA,2015,barley,2.1559
Brazil,BRA,2016,wheat,3.1551
Brazil,BRA,2016,rice,5.464300000000001
Brazil,BRA,2016,maize,4.2877
Brazil,BRA,2016,barley,4.1699
Brazil,BRA,2017,wheat,2.279
Brazil,BRA,2017,rice,6.213100000000001
Brazil,BRA,2017,maize,5.6183000000000005
Brazil,BRA,2017,barley,2.4903
Brazil,BRA,2018,wheat,2.6238
Brazil,BRA,2018,rice,6.3123000000000005
Brazil,BRA,2018,maize,5.1044
Brazil,BRA,2018,barley,3.2591
China,CHN,1961,wheat,0.5591
China,CHN,1961,rice,2.0787
China,CHN,1961,maize,1.1848
China,CHN,1961,barley,1.0522
China,CHN,1962,wheat,0.6941
China,CHN,1962,rice,2.37
China,CHN,1962,maize,1.2706
China,CHN,1962,barley,1.1443
China,CHN,1963,wheat,0.7782
China,CHN,1963,rice,2.6833
China,CHN,1963,maize,1.3404
China,CHN,1963,barley,1.0776
China,CHN,1964,wheat,0.8215
China,CHN,1964,rice,2.8289
China,CHN,1964,maize,1.4792
China,CHN,1964,barley,1.2647000000000002
China,CHN,1965,wheat,1.0222
China,CHN,1965,rice,2.9667000000000003
China,CHN,1965,maize,1.5115
China,CHN,1965,barley,1.4796
China,CHN,1966,wheat,1.0586
China,CHN,1966,rice,3.1445000000000003
China,CHN,1966,maize,1.7141000000000002
China,CHN,1966,barley,1.0484
China,CHN,1967,wheat,1.1275
China,CHN,1967,rice,3.1006
China,CHN,1967,maize,1.9358
China,CHN,1967,barley,1.4388
China,CHN,1968,wheat,1.1149
China,CHN,1968,rice,3.1868000000000003
China,CHN,1968,maize,1.8175
China,CHN,1968,barley,1.0687
China,CHN,1969,wheat,1.0856
China,CHN,1969,rice,3.1415
China,CHN,1969,maize,1.7769
China,CHN,1969,barley,1.0522
China,CHN,1970,wheat,1.1476
China,CHN,1970,rice,3.4162000000000003
China,CHN,1970,maize,2.0891
China,CHN,1970,barley,1.1396
China,CHN,1971,wheat,1.2718
China,CHN,1971,rice,3.3145
China,CHN,1971,maize,2.1461
China,CHN,1971,barley,1.2607000000000002
China,CHN,1972,wheat,1.3695000000000002
China,CHN,1972,rice,3.2475
China,CHN,1972,maize,1.925
China,CHN,1972,barley,1.2682
China,CHN,1973,wheat,1.3337
China,CHN,1973,rice,3.4818
China,CHN,1973,maize,2.3344
China,CHN,1973,barley,1.0765
China,CHN,1974,wheat,1.5116
China,CHN,1974,rice,3.5033000000000003
China,CHN,1974,maize,2.4683
China,CHN,1974,barley,1.4814
China,CHN,1975,wheat,1.6397000000000002
China,CHN,1975,rice,3.5283
China,CHN,1975,maize,2.5422
China,CHN,1975,barley,1.7603
China,CHN,1976,wheat,1.7754
China,CHN,1976,rice,3.4957000000000003
China,CHN,1976,maize,2.5072
China,CHN,1976,barley,2.0145
China,CHN,1977,wheat,1.465
China,CHN,1977,rice,3.6373
China,CHN,1977,maize,2.5158
China,CHN,1977,barley,1.9748000000000001
China,CHN,1978,wheat,1.8449
China,CHN,1978,rice,3.9809
China,CHN,1978,maize,2.8031
China,CHN,1978,barley,2.2294
China,CHN,1979,wheat,2.1395
China,CHN,1979,rice,4.2491
China,CHN,1979,maize,2.9851
China,CHN,1979,barley,2.4896000000000003
China,CHN,1980,wheat,1.8914
China,CHN,1980,rice,4.1435
China,CHN,1980,maize,3.0785
China,CHN,1980,barley,2.1809000000000003
China,CHN,1981,wheat,2.1091
China,CHN,1981,rice,4.3315
China,CHN,1981,maize,3.0507
China,CHN,1981,barley,2.5833
China,CHN,1982,wheat,2.4517
China,CHN,1982,rice,4.8888
China,CHN,1982,maize,3.2686
China,CHN,1982,barley,2.807
China,CHN,1983,wheat,2.8017000000000003
China,CHN,1983,rice,5.0918
China,CHN,1983,maize,3.6255
China,CHN,1983,barley,2.4999
China,CHN,1984,wheat,2.9691
China,CHN,1984,rice,5.3634
China,CHN,1984,maize,3.962
China,CHN,1984,barley,2.75
China,CHN,1985,wheat,2.9367
China,CHN,1985,rice,5.2498000000000005
China,CHN,1985,maize,3.6103
China,CHN,1985,barley,2.6471
China,CHN,1986,wheat,3.0403
China,CHN,1986,rice,5.3272
China,CHN,1986,maize,3.7074
China,CHN,1986,barley,2.2909
China,CHN,1987,wheat,2.9829000000000003
China,CHN,1987,rice,5.4035
China,CHN,1987,maize,3.923
China,CHN,1987,barley,2.8283
China,CHN,1988,wheat,2.9679
China,CHN,1988,rice,5.2819
China,CHN,1988,maize,3.9306
China,CHN,1988,barley,3.0612000000000004
China,CHN,1989,wheat,3.043
China,CHN,1989,rice,5.500500000000001
China,CHN,1989,maize,3.8813
China,CHN,1989,barley,2.6087
China,CHN,1990,wheat,3.1941
China,CHN,1990,rice,5.716600000000001
China,CHN,1990,maize,4.5252
China,CHN,1990,barley,2.8061000000000003
China,CHN,1991,wheat,3.1004
China,CHN,1991,rice,5.636900000000001
China,CHN,1991,maize,4.5799
China,CHN,1991,barley,2.5455
China,CHN,1992,wheat,3.3312
China,CHN,1992,rice,5.7959000000000005
China,CHN,1992,maize,4.5347
China,CHN,1992,barley,2.75
China,CHN,1993,wheat,3.5188
China,CHN,1993,rice,5.8462000000000005
China,CHN,1993,maize,4.9641
China,CHN,1993,barley,2.7667
China,CHN,1994,wheat,3.4263000000000003
China,CHN,1994,rice,5.8288
China,CHN,1994,maize,4.6951
China,CHN,1994,barley,2.8125
China,CHN,1995,wheat,3.5415
China,CHN,1995,rice,6.021
China,CHN,1995,maize,4.9177
China,CHN,1995,barley,2.6
China,CHN,1996,wheat,3.7341
China,CHN,1996,rice,6.205
China,CHN,1996,maize,5.2039
China,CHN,1996,barley,2.6769000000000003
China,CHN,1997,wheat,4.1019000000000005
China,CHN,1997,rice,6.311100000000001
China,CHN,1997,maize,4.3901
China,CHN,1997,barley,2.6246
China,CHN,1998,wheat,3.6852
China,CHN,1998,rice,6.3529
China,CHN,1998,maize,5.2686
China,CHN,1998,barley,2.4963
China,CHN,1999,wheat,3.9466
China,CHN,1999,rice,6.3344000000000005
China,CHN,1999,maize,4.9458
China,CHN,1999,barley,2.5
China,CHN,2000,wheat,3.7382
China,CHN,2000,rice,6.264200000000001
China,CHN,2000,maize,4.599200000000001
China,CHN,2000,barley,2.4729
China,CHN,2001,wheat,3.8061
China,CHN,2001,rice,6.1524
China,CHN,2001,maize,4.6999
China,CHN,2001,barley,3.7571
China,CHN,2002,wheat,3.7766
China,CHN,2002,rice,6.1855
China,CHN,2002,maize,4.8737
China,CHN,2002,barley,3.6329
China,CHN,2003,wheat,3.9318
China,CHN,2003,rice,6.0606
China,CHN,2003,maize,4.8146
China,CHN,2003,barley,3.5599000000000003
China,CHN,2004,wheat,4.2519
China,CHN,2004,rice,6.3085
China,CHN,2004,maize,5.121700000000001
China,CHN,2004,barley,4.1022
China,CHN,2005,wheat,4.2753000000000005
China,CHN,2005,rice,6.2527
China,CHN,2005,maize,5.2881
China,CHN,2005,barley,4.1452
China,CHN,2006,wheat,4.593500000000001
China,CHN,2006,rice,6.2763
China,CHN,2006,maize,5.3272
China,CHN,2006,barley,3.7627
China,CHN,2007,wheat,4.607600000000001
China,CHN,2007,rice,6.4223
China,CHN,2007,maize,5.1673
China,CHN,2007,barley,3.6049
China,CHN,2008,wheat,4.7620000000000005
China,CHN,2008,rice,6.5558000000000005
China,CHN,2008,maize,5.556100000000001
China,CHN,2008,barley,3.5569
China,CHN,2009,wheat,4.739
China,CHN,2009,rice,6.582000000000001
China,CHN,2009,maize,5.2593000000000005
China,CHN,2009,barley,3.7011
China,CHN,2010,wheat,4.7484
China,CHN,2010,rice,6.548100000000001
China,CHN,2010,maize,5.4598
China,CHN,2010,barley,3.4023000000000003
China,CHN,2011,wheat,4.837400000000001
China,CHN,2011,rice,6.6862
China,CHN,2011,maize,5.7481
China,CHN,2011,barley,3.1998
China,CHN,2012,wheat,4.986800000000001
China,CHN,2012,rice,6.7747
China,CHN,2012,maize,5.8699
China,CHN,2012,barley,3.3187
China,CHN,2013,wheat,5.0553
China,CHN,2013,rice,6.7099
China,CHN,2013,maize,6.016100000000001
China,CHN,2013,barley,3.6498
